Nazwa:;Symbol:;Strefa:
Edwardowo;EDWA02;A
Estoñska;ESTO01;A
Estoñska;ESTO02;A
Fabianowo;FABI01;A
Fabianowo;FABI02;A
Fabianowo I;FANZ01;A
Fabryka Samochodów;FASA01;A
Fabryka Samochodów;FASA02;A
Folwark Edwardowo;FOED01;A
Folwark Edwardowo;FOED02;A
Forteczna;FORT01;A
Forteczna;FORT02;A
Franowo;FRWO02;A
Franowo;FRWO42;A
Fredry;FRRY41;A
Fredry;FRRY42;A
Ga³czyñskiego;GALC01;A
Ga³czyñskiego;GALC02;A
Garaszewo;GARA02;A
Garbary;GABA01;A
Garbary;GABA02;A
Garbary;GABA04;A
Gdyñska;GDYN01;A
Gdyñska;GDYN02;A
Gdyñska I;GDI01;A
Gdyñska I;GDI02;A
Gdyñska II;GDII01;A
Gdyñska II;GDII02;A
Gdyñska Karolin;GDKA01;A
Gdyñska Karolin;GDKA02;A
Gerberowa;GERB01;A
Gerberowa;GERB02;A
Gie³da Ogrodnicza Franowo;FRAN02;A
G³ogowska/Hetmañska;GLHE01;A
G³ogowska/Hetmañska;GLHE02;A
G³ogowska/Hetmañska;GLHE06;A
G³ogowska/Hetmañska;GLHE43;A
G³ogowska/Hetmañska;GLHE44;A
G³ogowska/Hetmañska;GLHE45;A
G³ogowska/Hetmañska;GLHE71;A
G³ogowska/Hetmañska;GLHE72;A
G³ówna;GLOW01;A
G³ówna;GLOW02;A
G³ówna;GLOW03;A
G³uszyna;GLUS01;A
G³uszyna;GLUS02;A
G³uszyna OSIR;GLOS01;A
G³uszyna OSIR;GLOS02;A
G³uszyna Szko³a;GLSZ01;A
G³uszyna Szko³a;GLSZ02;A
GnieŸnieñska;GNIE01;A
GnieŸnieñska;GNIE02;A
GnieŸnieñska I;GNNZ01;A
GnieŸnieñska I;GNNZ02;A
GnieŸnieñska/Cmentarz;CMEN01;A
GnieŸnieñska/Cmentarz;CMEN02;A
Golêcin;GOLE01;A
Golêcin;GOLE02;A
Golêciñska;GOKA01;A
Golêciñska;GOKA02;A
Gospodarska;GOSP91;A
Gospodarska;GOSP92;A
Górczyn;GORC21;A
Górczyn;GORC30;A
Górczyn;GORC42;A
Górecka;GORE01;A
Górecka;GORE02;A
Górska;GORS01;A
Górska;GORS02;A
Grobla;GROL02;A
Grochowe £¹ki;GRLA02;A
Grochowska;GROC01;A
Grochowska;GROC02;A
Grochowska;GROC03;A
Grochowska;GROC04;A
Grochowska;GROC41;A
Grochowska;GROC42;A
Grodziska;GROD01;A
Grodziska;GROD02;A
Grotkowska;GROT71;A
Grotkowska;GROT72;A
Gwarna;GWAR02;A
Gwarna;GWAR41;A
HCP;HCP71;A
HCP;HCP72;A
Hetmañska Wiadukt;HEWI01;A
Hetmañska Wiadukt;HEWI02;A
Hetmañska Wiadukt;HEWI03;A
Hetmañska Wiadukt;HEWI04;A
Hetmañska Wiadukt;HEWI41;A
Hetmañska Wiadukt;HEWI42;A
Hezjoda;HEZJ01;A
Hezjoda;HEZJ02;A
Hlonda;HLDA01;A
Hlonda;HLDA02;A
Hulewiczów;HULE01;A
Hulewiczów;HULE02;A
INEA Stadion;INEA01;A
INEA Stadion;INEA02;A
INEA Stadion;INEA04;A
INEA Stadion;INEA05;A
INEA Stadion;INEA41;A
INEA Stadion;INEA42;A
Inflancka;INFL01;A
Inflancka;INFL02;A
Inflancka;INFL03;A
Instytut Fizyki;INFI01;A
Instytut Fizyki;INFI02;A
Instytut MR;INMR01;A
Instytut MR;INMR02;A
ITM;ITM02;A
Janikowo;JANI01;A
Janikowo;JANI02;A
Janikowo Asfaltowa;JAASF01;B
Janikowo Asfaltowa;JAASF02;B
Janikowo Ogrodnicza;JAOGR01;B
Janikowska;JANZ01;A
Janikowska;JANZ02;A
Jaros³awska;JARO01;A
Jaros³awska;JARO02;A
Jasna;JASN01;A
Jasna;JASN02;A
Jasna;JASN03;A
Jawornicka;JAWO01;A
Jawornicka;JAWO02;A
Jesionowa;JESI01;A
Jesionowa;JESI02;A
Je¿ycka;JEZY01;A
Je¿ycka;JEZY02;A
Jugos³owiañska;JUGO01;A
Jugos³owiañska;JUGO02;A
Junikowo;JUNI02;A
Junikowo;JUNI30;A
Junikowo;JUNI42;A
Junikowo Stacja;JUST02;A
Junikowo/Cmentarz;JUCM41;A
Kacza;KACZ01;A
Kacza;KACZ02;A
Kacza I;KCNZ01;A
Kacza I;KCNZ02;A
Kampus UAM Morasko;UAM02;A
Kartuska;KART01;A
Kartuska;KART02;A
Kasztanowa;KASZ01;A
Katedra;KATE01;A
Katedra;KATE02;A
Katedra;KATE41;A
Katedra;KATE42;A
Katowicka;KATO01;A
Katowicka;KATO02;A
Kazimierza Wielkiego;KAWI01;A
Kicin Jonschera;KCJON01;B
Kicin Jonschera;KCJON02;B
Kicin Pêtla;KCPET01;B
Kicin Szko³a;KCSZK01;B
Kicin Szko³a;KCSZK02;B
Kiekrz;KIEK02;A
Kiekrz Dworzec;KIDW01;A
Kiekrz Dworzec;KIDW02;A
Kiekrz Koœció³;KIKO01;A
Kiekrz Koœció³;KIKO02;A
Kinepolis;KINE01;A
Klin;KLIN01;A
Klin;KLIN02;A
Klin;KLIN41;A
Klin;KLIN42;A
Kmieca;KMIE41;A
Kmieca;KMIE42;A
Kobylepole;KOBY01;A
Kobylepole;KOBY02;A
Kolejowa;KOLE01;A
Kolejowa;KOLE02;A
Kolejowa;KOLE41;A
Kolejowa;KOLE42;A
Ko³obrzeska;KOLO01;A
Ko³obrzeska;KOLO02;A
Komornicka;KMNZ02;A
Konopnickiej;KONZ02;A
Kopciuszka;KOPC01;A
Kopciuszka;KOPC02;A
Kordeckiego;KORD01;A
Kordeckiego;KORD02;A
Kordeckiego;KORD04;A
Korfantego;KORF01;A
Korfantego;KORF02;A
Koronkarska;KORO01;A
Koronkarska;KORO02;A
Koronna;KORA01;A
Koronna;KORA02;A
Kosiñskiego;KOSI71;A
Kosiñskiego;KOSI72;A
Kosowska;KOSO01;A
Kosowska;KOSO02;A
Koszaliñska;KKNZ01;A
Koszaliñska;KKNZ02;A
Koœcielna;KOSC01;A
Koœcielna;KOSC02;A
Kotowo;KOTO01;A
Kotowo;KOTO02;A
Kowalewicka;KOWA02;A
Kozieg³owy Dzia³ki;KZDZI01;B
Kozieg³owy Dzia³ki;KZDZI02;B
Kozieg³owy Krótka;KZKRO01;B
Kozieg³owy Krótka;KZKRO02;B
